No,Southwestern Ojibwe,English(raw),Conjugation,English(formatted)
3231,onoontaakoninaatok,"it must be hearing him/her, them (obv.)",0s→3' TA Independent Dubitative,it must be hearing them(plur.)
3232,ompakkitte'okoninaatok,"it must be hitting him/her, them (obv.)",0s→3' TA Independent Dubitative,it must be hitting them(sing.)
3233,ompakkitte'okoninaatok,"it must be hitting him/her, them (obv.)",0s→3' TA Independent Dubitative,it must be hitting them(plur.)
3234,owaapamikoninaatokenan,"they (inan.) must be seeing him/her, them (obv.)",0p→3' TA Independent Dubitative,they(plur.) must be seeing them(sing.)
3235,owaapamikoninaatokenan,"they (inan.) must be seeing him/her, them (obv.)",0p→3' TA Independent Dubitative,they(plur.) must be seeing them(plur.)
3236,onoontaakoninaatokenan,"they (inan.) must be hearing him/her, them (obv.)",0p→3' TA Independent Dubitative,they(plur.) must be hearing them(sing.)
3237,onoontaakoninaatokenan,"they (inan.) must be hearing him/her, them (obv.)",0p→3' TA Independent Dubitative,they(plur.) must be hearing them(plur.)
3238,ompakkitte'okoninaatokenan,"they (inan.) must be hitting him/her, them (obv.)",0p→3' TA Independent Dubitative,they(plur.) must be hitting them(sing.)
3239,ompakkitte'okoninaatokenan,"they (inan.) must be hitting him/her, them (obv.)",0p→3' TA Independent Dubitative,they(plur.) must be hitting them(plur.)
3240,owaapamikonini,"it, they (inan.) see him/her, them (obv.)",0→3' TA Independent Indicative,they(plur.) see them(sing.)
3241,owaapamikonini,"it, they (inan.) see him/her, them (obv.)",0→3' TA Independent Indicative,they(plur.) see them(plur.)
3242,owaapamikonini,"it, they (inan.) see him/her, them (obv.)",0→3' TA Independent Indicative,it sees them(sing.)
3243,owaapamikonini,"it, they (inan.) see him/her, them (obv.)",0→3' TA Independent Indicative,it sees them(plur.)
3244,onoontaakonini,"it, they (inan.) hear him/her, them (obv.)",0→3' TA Independent Indicative,they(plur.) hear them(sing.)
3245,onoontaakonini,"it, they (inan.) hear him/her, them (obv.)",0→3' TA Independent Indicative,they(plur.) hear them(plur.)
3246,onoontaakonini,"it, they (inan.) hear him/her, them (obv.)",0→3' TA Independent Indicative,it hears them(sing.)
3247,onoontaakonini,"it, they (inan.) hear him/her, them (obv.)",0→3' TA Independent Indicative,it hears them(plur.)
3248,ompakkitte'okonini,"it, they (inan.) hit him/her, them (obv.)",0→3' TA Independent Indicative,they(plur.) hit them(sing.)
3249,ompakkitte'okonini,"it, they (inan.) hit him/her, them (obv.)",0→3' TA Independent Indicative,they(plur.) hit them(plur.)
3250,ompakkitte'okonini,"it, they (inan.) hit him/her, them (obv.)",0→3' TA Independent Indicative,it hits them(sing.)
3251,ompakkitte'okonini,"it, they (inan.) hit him/her, them (obv.)",0→3' TA Independent Indicative,it hits them(plur.)
3252,owaapamikoon,"s/he, they (obv.) see him/her",3'→3s TA Independent Indicative,they(plur.) see them(sing.)
3253,owaapamikoon,"s/he, they (obv.) see him/her",3'→3s TA Independent Indicative,they(sing.) see them(sing.)
3254,onoontaakoon,"s/he, they (obv.) hit him/her",3'→3s TA Independent Indicative,they(plur.) hit them(sing.)
3255,onoontaakoon,"s/he, they (obv.) hit him/her",3'→3s TA Independent Indicative,they(sing.) hit them(sing.)
3256,ompakkitte'okoon,"s/he, they (obv.) hit him/her",3'→3s TA Independent Indicative,they(plur.) hit them(sing.)
3257,ompakkitte'okoon,"s/he, they (obv.) hit him/her",3'→3s TA Independent Indicative,they(sing.) hit them(sing.)
3258,owaapamikopanen,"s/he, they (obv.) saw him/her",3'→3s TA Independent Preterit,they(plur.) saw them(sing.)
3259,owaapamikopanen,"s/he, they (obv.) saw him/her",3'→3s TA Independent Preterit,they(sing.) saw them(sing.)
3260,onoontaakopanen,"s/he, they (obv.) heard him/her",3'→3s TA Independent Preterit,they(plur.) heard them(sing.)
3261,onoontaakopanen,"s/he, they (obv.) heard him/her",3'→3s TA Independent Preterit,they(sing.) heard them(sing.)
3262,ompakkitte'okopanen,"s/he, they (obv.) hit him/her",3'→3s TA Independent Preterit,they(plur.) hit them(sing.)
3263,ompakkitte'okopanen,"s/he, they (obv.) hit him/her",3'→3s TA Independent Preterit,they(sing.) hit them(sing.)
3264,owaapamikossiin,"s/he, they (obv.) do not see him/her",3'→3s TA Independent Indicative,they(plur.) do not see them(sing.)
3265,owaapamikossiin,"s/he, they (obv.) do not see him/her",3'→3s TA Independent Indicative,they(sing.) do not see them(sing.)
3266,owaapamikossiin,it does not see him/her,0s→3s TA Independent Indicative,it does not see them(sing.)
3267,owaapamikossiinaapan,it did not see him/her,0s→3s TA Independent Preterit,it did not see them(sing.)
3268,owaapamikossiinaapanen,they (inan.) did not see him/her,0p→3s TA Independent Preterit,they(plur.) did not see them(sing.)
3269,owaapamikossiinaatok,it must not be seeing him/her,0s→3s TA Independent Dubitative,it must not be seeing them(sing.)
3270,owaapamikossiinaatokenan,they (inan.) must not be seeing him/her,0p→3s TA Independent Dubitative,they(plur.) must not be seeing them(sing.)
3271,owaapamikossiinaawaa,it does not see them (anim.),0s→3p TA Independent Indicative,it does not see them(plur.)
3272,owaapamikossiinaawaan,they (inan.) do not see them (anim.),0p→3p TA Independent Indicative,they(plur.) do not see them(plur.)
3273,owaapamikossiinaawaapan,it did not see them (anim.),0s→3p TA Independent Preterit,it did not see them(plur.)
3274,owaapamikossiinaawaapanen,they (inan.) did not see them (anim.),0p→3p TA Independent Preterit,they(plur.) did not see them(plur.)
3275,owaapamikossiinaawaatok,it must not be seeing them (anim.),0s→3p TA Independent Dubitative,it must not be seeing them(plur.)
3276,owaapamikossiinaawaatokenan,they (inan.) must not be seeing them (anim.),0p→3p TA Independent Dubitative,they(plur.) must not be seeing them(plur.)
3277,owaapamikossiinan,they (inan.) do not see him/her,0p→3s TA Independent Indicative,they(plur.) do not see them(sing.)
3278,owaapamikossiininaapan,"it did not see him/her, them (obv.)",0s→3' TA Independent Preterit,it did not see them(sing.)
3279,owaapamikossiininaapan,"it did not see him/her, them (obv.)",0s→3' TA Independent Preterit,it did not see them(plur.)
3280,owaapamikossiininaapanen,"they (inan.) did not see him/her, them (obv.)",0p→3' TA Independent Preterit,they(plur.) did not see them(sing.)
3281,owaapamikossiininaapanen,"they (inan.) did not see him/her, them (obv.)",0p→3' TA Independent Preterit,they(plur.) did not see them(plur.)
3282,owaapamikossiininaatok,"it must not be seeing him/her, them (obv.)",0s→3' TA Independent Dubitative,it must not be seeing them(sing.)
3283,owaapamikossiininaatok,"it must not be seeing him/her, them (obv.)",0s→3' TA Independent Dubitative,it must not be seeing them(plur.)
3284,owaapamikossiininaatokenan,"they (inan.) must not be seeing him/her, them (obv.)",0p→3' TA Independent Dubitative,they(plur.) must not be seeing them(sing.)
3285,owaapamikossiininaatokenan,"they (inan.) must not be seeing him/her, them (obv.)",0p→3' TA Independent Dubitative,they(plur.) must not be seeing them(plur.)
3286,owaapamikossiinini,"it, they (inan.) do not see him/her, them (obv.)",0→3' TA Independent Indicative,they(plur.) do not see them(sing.)
3287,owaapamikossiinini,"it, they (inan.) do not see him/her, them (obv.)",0→3' TA Independent Indicative,they(plur.) do not see them(plur.)
3288,owaapamikossiinini,"it, they (inan.) do not see him/her, them (obv.)",0→3' TA Independent Indicative,it does not see them(sing.)
3289,owaapamikossiinini,"it, they (inan.) do not see him/her, them (obv.)",0→3' TA Independent Indicative,it does not see them(plur.)
3290,owaapamikossiipanen,"s/he, they (obv.) did not see him/her",3'→3s TA Independent Preterit,they(plur.) did not see them(sing.)
3291,owaapamikossiipanen,"s/he, they (obv.) did not see him/her",3'→3s TA Independent Preterit,they(sing.) did not see them(sing.)
3292,owaapamikossiitokenan,"s/he, they (obv.) must not be seeing him/her",3'→3s TA Independent Dubitative,they(plur.) must not be seeing them(sing.)
3293,owaapamikossiitokenan,"s/he, they (obv.) must not be seeing him/her",3'→3s TA Independent Dubitative,they(sing.) must not be seeing them(sing.)
3294,owaapamikossiiwaan,"s/he, they (obv.) do not see them (anim.)",3'→3p TA Independent Indicative,they(plur.) do not see them(plur.)
3295,owaapamikossiiwaan,"s/he, they (obv.) do not see them (anim.)",3'→3p TA Independent Indicative,they(sing.) do not see them(plur.)
3296,owaapamikossiiwaapanen,"s/he, they (obv.) did not see them (anim.)",3'→3p TA Independent Preterit,they(plur.) did not see them(plur.)
3297,owaapamikossiiwaapanen,"s/he, they (obv.) did not see them (anim.)",3'→3p TA Independent Preterit,they(sing.) did not see them(plur.)
3298,owaapamikossiiwaatokenan,"s/he, they (obv.) must not be seeing them (anim.)",3'→3p TA Independent Dubitative,they(plur.) must not be seeing them(plur.)
3299,owaapamikossiiwaatokenan,"s/he, they (obv.) must not be seeing them (anim.)",3'→3p TA Independent Dubitative,they(sing.) must not be seeing them(plur.)
3300,owaapamikotokenan,"s/he, they (obv.) must be seeing him/her",3'→3s TA Independent Dubitative,they(plur.) must be seeing them(sing.)
3301,owaapamikotokenan,"s/he, they (obv.) must be seeing him/her",3'→3s TA Independent Dubitative,they(sing.) must be seeing them(sing.)
3302,onoontaakotokenan,"s/he, they (obv.) must be hearing him/her",3'→3s TA Independent Dubitative,they(plur.) must be hearing them(sing.)
3303,onoontaakotokenan,"s/he, they (obv.) must be hearing him/her",3'→3s TA Independent Dubitative,they(sing.) must be hearing them(sing.)
3304,ompakkitte'okotokenan,"s/he, they (obv.) must be hitting him/her",3'→3s TA Independent Dubitative,they(plur.) must be hitting them(sing.)
3305,ompakkitte'okotokenan,"s/he, they (obv.) must be hitting him/her",3'→3s TA Independent Dubitative,they(sing.) must be hitting them(sing.)
3306,owaapamikowaan,"s/he, they (obv.) see them (anim.)",3'→3p TA Independent Indicative,they(plur.) see them(plur.)
3307,owaapamikowaan,"s/he, they (obv.) see them (anim.)",3'→3p TA Independent Indicative,they(sing.) see them(plur.)
3308,onoontaakowaan,"s/he, they (obv.) hit them (anim.)",3'→3p TA Independent Indicative,they(plur.) hit them(plur.)
3309,onoontaakowaan,"s/he, they (obv.) hit them (anim.)",3'→3p TA Independent Indicative,they(sing.) hit them(plur.)
3310,ompakkitte'okowaan,"s/he, they (obv.) hit them (anim.)",3'→3p TA Independent Indicative,they(plur.) hit them(plur.)
3311,ompakkitte'okowaan,"s/he, they (obv.) hit them (anim.)",3'→3p TA Independent Indicative,they(sing.) hit them(plur.)
3312,owaapamikowaapanen,"s/he, they (obv.) saw them (anim.)",3'→3p TA Independent Preterit,they(plur.) saw them(plur.)
3313,owaapamikowaapanen,"s/he, they (obv.) saw them (anim.)",3'→3p TA Independent Preterit,they(sing.) saw them(plur.)
3314,onoontaakowaapanen,"s/he, they (obv.) heard them (anim.)",3'→3p TA Independent Preterit,they(plur.) heard them(plur.)
3315,onoontaakowaapanen,"s/he, they (obv.) heard them (anim.)",3'→3p TA Independent Preterit,they(sing.) heard them(plur.)
3316,ompakkitte'okowaapanen,"s/he, they (obv.) hit them (anim.)",3'→3p TA Independent Preterit,they(plur.) hit them(plur.)
3317,ompakkitte'okowaapanen,"s/he, they (obv.) hit them (anim.)",3'→3p TA Independent Preterit,they(sing.) hit them(plur.)
3318,owaapamikowaatokenan,"s/he, they (obv.) must be seeing them (anim.)",3'→3p TA Independent Dubitative,they(plur.) must be seeing them(plur.)
3319,owaapamikowaatokenan,"s/he, they (obv.) must be seeing them (anim.)",3'→3p TA Independent Dubitative,they(sing.) must be seeing them(plur.)
3320,onoontaakowaatokenan,"s/he, they (obv.) must be hearing them (anim.)",3'→3p TA Independent Dubitative,they(plur.) must be hearing them(plur.)
3321,onoontaakowaatokenan,"s/he, they (obv.) must be hearing them (anim.)",3'→3p TA Independent Dubitative,they(sing.) must be hearing them(plur.)
3322,ompakkitte'okowaatokenan,"s/he, they (obv.) must be hitting them (anim.)",3'→3p TA Independent Dubitative,they(plur.) must be hitting them(plur.)
3323,ompakkitte'okowaatokenan,"s/he, they (obv.) must be hitting them (anim.)",3'→3p TA Independent Dubitative,they(sing.) must be hitting them(plur.)
3324,omiicin,s/he eats it,3s→0s TI3 Independent Indicative,they(sing.) eat it
3325,omiicinaapan,s/he ate it,3s→0s TI3 Independent Preterit,they(sing.) ate it
3326,omiicinaapanen,s/he ate them (inan.),3s→0p TI3 Independent Preterit,they(sing.) ate them(plur.)
3327,omiicinaatok,s/he must be eating it,3s→0s TI3 Independent Dubitative,they(sing.) must be eating it
3328,omiicinaatokenan,s/he must be eating them (inan.),3s→0p TI3 Independent Dubitative,they(sing.) must be eating them(plur.)
3329,omiicinaawaa,they (anim.) eat it,3p→0s TI3 Independent Indicative,they(plur.) eat it
3330,omiicinaawaan,they (anim.) eat them (inan.),3p→0p TI3 Independent Indicative,they(plur.) eat them(plur.)
3331,omiicinaawaapan,they (anim.) ate it,3p→0s TI3 Independent Preterit,they(plur.) ate it
3332,omiicinaawaapanen,they (anim.) ate them (inan.),3p→0p TI3 Independent Preterit,they(plur.) ate them(plur.)
3333,omiicinaawaatok,they (anim.) must be eating it,3p→0s TI3 Independent Dubitative,they(plur.) must be eating it
3334,omiicinaawaatokenan,they (anim.) must be eating them (inan.),3p→0p TI3 Independent Dubitative,they(plur.) must be eating them(plur.)
3335,omiicinan,s/he eats them (inan.),3s→0p TI3 Independent Indicative,they(sing.) eat them(plur.)
3336,omiicini,"s/he, they (obv.) eat it, them (inan.)",3'→0 TI3 Independent Indicative,they(plur.) eat it
3337,omiicini,"s/he, they (obv.) eat it, them (inan.)",3'→0 TI3 Independent Indicative,they(plur.) eat them(plur.)
3338,omiicini,"s/he, they (obv.) eat it, them (inan.)",3'→0 TI3 Independent Indicative,they(sing.) eat it
3339,omiicini,"s/he, they (obv.) eat it, them (inan.)",3'→0 TI3 Independent Indicative,they(sing.) eat them(plur.)
3340,omiicininaapan,"s/he, they (obv.) ate it",3'→0s TI3 Independent Preterit,they(plur.) ate it
3341,omiicininaapan,"s/he, they (obv.) ate it",3'→0s TI3 Independent Preterit,they(sing.) ate it
3342,omiicininaapanen,"s/he, they (obv.) ate them (inan.)",3'→0p TI3 Independent Preterit,they(plur.) ate them(plur.)
3343,omiicininaapanen,"s/he, they (obv.) ate them (inan.)",3'→0p TI3 Independent Preterit,they(sing.) ate them(plur.)
3344,omiicininaatok,"s/he, they (obv.) must be eating it",3'→0s TI3 Independent Dubitative,they(plur.) must be eating it
3345,omiicininaatok,"s/he, they (obv.) must be eating it",3'→0s TI3 Independent Dubitative,they(sing.) must be eating it
3346,omiicininaatokenan,"s/he, they (obv.) must be eating them (inan.)",3'→0p TI3 Independent Dubitative,they(plur.) must be eating them(plur.)
3347,omiicininaatokenan,"s/he, they (obv.) must be eating them (inan.)",3'→0p TI3 Independent Dubitative,they(sing.) must be eating them(plur.)
3348,omiicinini,"s/he, they (obv.) eat it, them (inan.)",3'→0 TI3 Independent Indicative,they(plur.) eat it
3349,omiicinini,"s/he, they (obv.) eat it, them (inan.)",3'→0 TI3 Independent Indicative,they(plur.) eat them(plur.)
3350,omiicinini,"s/he, they (obv.) eat it, them (inan.)",3'→0 TI3 Independent Indicative,they(sing.) eat it
3351,omiicinini,"s/he, they (obv.) eat it, them (inan.)",3'→0 TI3 Independent Indicative,they(sing.) eat them(plur.)
3352,owanittoon,s/he loses it,3s→0s TI2 Independent Indicative,they(sing.) lose it
3353,owanittoonaapan,s/he lost it,3s→0s TI2 Independent Preterit,they(sing.) lost it
3354,owanittoonaapanen,s/he lost them (inan.),3s→0p TI2 Independent Preterit,they(sing.) lost them(plur.)
3355,owanittoonaatok,s/he must be losing it,3s→0s TI2 Independent Dubitative,they(sing.) must be losing it
3356,owanittoonaatokenan,s/he must be losing them (inan.),3s→0p TI2 Independent Dubitative,they(sing.) must be losing them(plur.)
3357,owanittoonaawaa,they (anim.) lose it,3p→0s TI2 Independent Indicative,they(plur.) lose it
3358,owanittoonaawaan,they (anim.) lose them (inan.),3p→0p TI2 Independent Indicative,they(plur.) lose them(plur.)
3359,owanittoonaawaapan,they (anim.) lost it,3p→0s TI2 Independent Preterit,they(plur.) lost it
3360,owanittoonaawaapanen,they (anim.) lost them (inan.),3p→0p TI2 Independent Preterit,they(plur.) lost them(plur.)
3361,owanittoonaawaatok,they (anim.) must be losing it,3p→0s TI2 Independent Dubitative,they(plur.) must be losing it
3362,owanittoonaawaatokenan,they (anim.) must be losing them (inan.),3p→0p TI2 Independent Dubitative,they(plur.) must be losing them(plur.)
3363,owanittoonan,s/he loses them (inan.),3s→0p TI2 Independent Indicative,they(sing.) lose them(plur.)
