Southwestern Ojibwe,English(raw),Conjugation,English(formatted)
niwaapamaanaatokenak,we (excl.) must be seeing them (anim.),1p→3p TA Independent Dubitative,we must be seeing them (anim.)
niwaapantaanaatokenan,I must be seeing them (inan.),1s→0p TI1 Independent Dubitative,I must be seeing them
niwaapantaanan,I see them (inan.),1s→0p TI1 Independent Indicative,I see them
niwaapamaapan,I saw him/her,1s→3s TA Independent Preterit,I saw him/her
niwaapamaapanek,I saw them (anim.),1s→3p TA Independent Preterit,I saw them
niwaapamaassiik,I do not see them (anim.),1s→3p TA Independent Indicative,I do not see them
niwaapamaassiin,I do not see him/her,1s→3s TA Independent Indicative,I do not see him/her
niwaapamaassiipan,I did not see him/her,1s→3s TA Independent Preterit,I did not see him/her
niwaapamaassiipanek,I did not see them (anim.),1s→3p TA Independent Preterit,I did not see them
niwaapamaassiitok,I must not be seeing him/her,1s→3s TA Independent Dubitative,I must not be seeing him/her
niwaapamaassiitokenak,I must not be seeing them (anim.),1s→3p TA Independent Dubitative,I must not be seeing them
niwaapamaassiwaanaan,we (excl.) do not see him/her,1p→3s TA Independent Indicative,we do not see him/her
niwaapamaassiwaanaanik,we (excl.) do not see them (anim.),1p→3p TA Independent Indicative,we do not see them (anim.)
niwaapamaassiwaanaapan,we (excl.) did not see him/her,1p→3s TA Independent Preterit,we did not see him/her
niwaapamaassiwaanaapanek,we (excl.) did not see them (anim.),1p→3p TA Independent Preterit,we did not see them (anim.)
niwaapamaassiwaanaatok,we (excl.) must not be seeing him/her,1p→3s TA Independent Dubitative,we must not be seeing him/her
niwaapamaassiwaanaatokenak,we (excl.) must not be seeing them (anim.),1p→3p TA Independent Dubitative,we must not be seeing them (anim.)
niwaapamaatok,I must be seeing him/her,1s→3s TA Independent Dubitative,I must be seeing him/her
niwaapamaatokenak,I must be seeing them (anim.),1s→3p TA Independent Dubitative,I must be seeing them
niwaapantansiimin,"we (excl.) do not see it, them (inan.)",1p→0 TI1 Independent Indicative,"we do not see it, them (inan.)"
niwaapantansiimin,"we (excl.) do not see it, them (inan.)",1p→0 TI1 Independent Indicative,"we do not see it, them (inan.)"
niwaapantansiiminaapan,we (excl.) did not see it,1p→0s TI1 Independent Preterit,we did not see it
niwaapantansiiminaapanen,we (excl.) did not see them (inan.),1p→0p TI1 Independent Preterit,we did not see them (inan.)
niwaapantansiiminaatok,we (excl.) must not be seeing it,1p→0s TI1 Independent Dubitative,we must not be seeing it
niwaapantansiiminaatokenan,we (excl.) must not be seeing them (inan.),1p→0p TI1 Independent Dubitative,we must not be seeing them (inan.)
niwaapantansiin,I do not see it,1s→0s TI1 Independent Indicative,I do not see it
niwaapantansiinaapan,I did not see it,1s→0s TI1 Independent Preterit,I did not see it
niwaapantansiinaapanen,I did not see them (inan.),1s→0p TI1 Independent Preterit,I did not see them
niwaapantansiinaatok,I must not be seeing it,1s→0s TI1 Independent Dubitative,I must not be seeing it
niwaapantansiinaatokenan,I must not be seeing them (inan.),1s→0p TI1 Independent Dubitative,I must not be seeing them
niwaapantansiinan,I do not see them (inan.),1s→0p TI1 Independent Indicative,I do not see them
niwaapamik,s/he sees me,3s→1s TA Independent Indicative,FLAGthey(sing.) sees me
ninoontaak,s/he hears me,3s→1s TA Independent Indicative,FLAGthey(sing.) hears me
nimpakkitte'ok,s/he hits me,3s→1s TA Independent Indicative,FLAGthey(sing.) hits me
niwaapamikomin,"it, they (inan.) see us (excl.)",0→1p TA Independent Indicative,"it, they(plur.) see us (excl.)"
niwaapamikomin,"it, they (inan.) see us (excl.)",0→1p TA Independent Indicative,"it,  see us (excl.)"
ninoontaakomin,"it, they (inan.) hear us (excl.)",0→1p TA Independent Indicative,"it, they(plur.) hear us (excl.)"
ninoontaakomin,"it, they (inan.) hear us (excl.)",0→1p TA Independent Indicative,"it,  hear us (excl.)"
nimpakkitte'okomin,"it, they (inan.) hit us (excl.)",0→1p TA Independent Indicative,"it, they(plur.) hit us (excl.)"
nimpakkitte'okomin,"it, they (inan.) hit us (excl.)",0→1p TA Independent Indicative,"it,  hit us (excl.)"
niwaapamikominaapan,it saw us (excl.),0s→1p TA Independent Preterit,it saw us
ninoontaakominaapan,it heard us (excl.),0s→1p TA Independent Preterit,it heard us
nimpakkitte'okominaapan,it hit us (excl.),0s→1p TA Independent Preterit,it hit us
niwaapamikominaapanen,they (inan.) saw us (excl.),0p→1p TA Independent Preterit,they(plur.) saw us (excl.)
ninoontaakominaapanen,they (inan.) heard us (excl.),0p→1p TA Independent Preterit,they(plur.) heard us (excl.)
nimpakkitte'okominaapanen,they (inan.) hit us (excl.),0p→1p TA Independent Preterit,they(plur.) hit us (excl.)
niwaapamikominaatok,it must be seeing us (excl.),0s→1p TA Independent Dubitative,it must be seeing us
ninoontaakominaatok,it must be hearing us (excl.),0s→1p TA Independent Dubitative,it must be hearing us
nimpakkitte'okominaatok,it must be hitting us (excl.),0s→1p TA Independent Dubitative,it must be hitting us
niwaapamikominaatokenan,they (inan.) must be seeing us (excl.),0p→1p TA Independent Dubitative,they(plur.) must be seeing us (excl.)
ninoontaakominaatokenan,they (inan.) must be hearing us (excl.),0p→1p TA Independent Dubitative,they(plur.) must be hearing us (excl.)
nimpakkitte'okominaatokenan,they (inan.) must be hitting us (excl.),0p→1p TA Independent Dubitative,they(plur.) must be hitting us (excl.)
niwaapamikon,it sees me,0s→1s TA Independent Indicative,it sees me
ninoontaakon,it hears me,0s→1s TA Independent Indicative,it hears me
nimpakkitte'okon,it hits me,0s→1s TA Independent Indicative,it hits me
niwaapamikonaan,s/he sees us (excl.),3s→1p TA Independent Indicative,FLAGthey(sing.) sees us
ninoontaakonaan,s/he hears us (excl.),3s→1p TA Independent Indicative,FLAGthey(sing.) hears us
nimpakkitte'okonaan,s/he hits us (excl.),3s→1p TA Independent Indicative,FLAGthey(sing.) hits us
niwaapamikonaanik,they (anim.) see us (excl.),3p→1p TA Independent Indicative,they(plur.) see us (excl.)
ninoontaakonaanik,they (anim.) hear us (excl.),3p→1p TA Independent Indicative,they(plur.) hear us (excl.)
nimpakkitte'okonaanik,they (anim.) hit us (excl.),3p→1p TA Independent Indicative,they(plur.) hit us (excl.)
niwaapamikonaapan,s/he saw us (excl.),3s→1p TA Independent Preterit,they(sing.) saw us
ninoontaakonaapan,s/he heard us (excl.),3s→1p TA Independent Preterit,they(sing.) heard us
nimpakkitte'okonaapan,s/he hit us (excl.),3s→1p TA Independent Preterit,they(sing.) hit us
niwaapamikonaapan,it saw me,0s→1s TA Independent Preterit,it saw me
ninoontaakonaapan,it heard me,0s→1s TA Independent Preterit,it heard me
nimpakkitte'okonaapan,it hit me,0s→1s TA Independent Preterit,it hit me
niwaapamikonaapanek,they (anim.) saw us (excl.),3p→1p TA Independent Preterit,they(plur.) saw us (excl.)
ninoontaakonaapanek,they (anim.) heard us (excl.),3p→1p TA Independent Preterit,they(plur.) heard us (excl.)
nimpakkitte'okonaapanek,they (anim.) hit us (excl.),3p→1p TA Independent Preterit,they(plur.) hit us (excl.)
niwaapamikonaapanen,they (inan.) saw me,0p→1s TA Independent Preterit,they(plur.) saw me
ninoontaakonaapanen,they (inan.) heard me,0p→1s TA Independent Preterit,they(plur.) heard me
nimpakkitte'okonaapanen,they (inan.) hit me,0p→1s TA Independent Preterit,they(plur.) hit me
niwaapamikonaatok,it must be seeing me,0s→1s TA Independent Dubitative,it must be seeing me
ninoontaakonaatok,it must be hearing me,0s→1s TA Independent Dubitative,it must be hearing me
nimpakkitte'okonaatok,it must be hitting me,0s→1s TA Independent Dubitative,it must be hitting me
niwaapamikonaatok,s/he must be seeing us (excl.),3s→1p TA Independent Dubitative,they(sing.) must be seeing us
ninoontaakonaatok,s/he must be hearing us (excl.),3s→1p TA Independent Dubitative,they(sing.) must be hearing us
nimpakkitte'okonaatok,s/he must be hitting us (excl.),3s→1p TA Independent Dubitative,they(sing.) must be hitting us
niwaapamikonaatokenak,they (anim.) must be seeing us (excl.),3p→1p TA Independent Dubitative,they(plur.) must be seeing us (excl.)
ninoontaakonaatokenak,they (anim.) must be hearing us (excl.),3p→1p TA Independent Dubitative,they(plur.) must be hearing us (excl.)
nimpakkitte'okonaatokenak,they (anim.) must be hitting us (excl.),3p→1p TA Independent Dubitative,they(plur.) must be hitting us (excl.)
niwaapamikonaatokenan,they (inan.) must be seeing me,0p→1s TA Independent Dubitative,they(plur.) must be seeing me
ninoontaakonaatokenan,they (inan.) must be hearing me,0p→1s TA Independent Dubitative,they(plur.) must be hearing me
nimpakkitte'okonaatokenan,they (inan.) must be hitting me,0p→1s TA Independent Dubitative,they(plur.) must be hitting me
niwaapamikonan,they (inan.) see me,0p→1s TA Independent Indicative,they(plur.) see me
ninoontaakonan,they (inan.) hear me,0p→1s TA Independent Indicative,they(plur.) hear me
nimpakkitte'okonan,they (inan.) hit me,0p→1s TA Independent Indicative,they(plur.) hit me
niwaapamikoo,people see me,X→1s TA Independent Indicative,people see me
ninoontaakoo,people hear me,X→1s TA Independent Indicative,people hear me
nimpakkitte'okoo,people hit me,X→1s TA Independent Indicative,people hit me
niwaapamikook,they (anim.) see me,3p→1s TA Independent Indicative,they(plur.) see me
ninoontaakook,they (anim.) hear me,3p→1s TA Independent Indicative,they(plur.) hear me
nimpakkitte'okook,they (anim.) hit me,3p→1s TA Independent Indicative,they(plur.) hit me
niwaapamikoomin,people see us (excl.),X→1p TA Independent Indicative,people see us
ninoontaakoomin,people hear us (excl.),X→1p TA Independent Indicative,people hear us
nimpakkitte'okoomin,people hit us (excl.),X→1p TA Independent Indicative,people hit us
niwaapamikoominaapan,people saw us (excl.),X→1p TA Independent Preterit,people saw us
ninoontaakoominaapan,people heard us (excl.),X→1p TA Independent Preterit,people heard us
nimpakkitte'okoominaapan,people hit us (excl.),X→1p TA Independent Preterit,people hit us
niwaapamikoominaatok,people must be seeing us (excl.),X→1p TA Independent Dubitative,people must be seeing us
ninoontaakoominaatok,people must be hearing us (excl.),X→1p TA Independent Dubitative,people must be hearing us
nimpakkitte'okoominaatok,people must be hitting us (excl.),X→1p TA Independent Dubitative,people must be hitting us
niwaapamikoonaapan,people saw me,X→1s TA Independent Preterit,people saw me
ninoontaakoonaapan,people heard me,X→1s TA Independent Preterit,people heard me
nimpakkitte'okoonaapan,people hit me,X→1s TA Independent Preterit,people hit me
niwaapamikoonaatok,people must be seeing me,X→1s TA Independent Dubitative,people must be seeing me
ninoontaakoonaatok,people must be hearing me,X→1s TA Independent Dubitative,people must be hearing me
nimpakkitte'okoonaatok,people must be hitting me,X→1s TA Independent Dubitative,people must be hitting me
niwaapamikoossiimin,people do not see us (excl.),X→1p TA Independent Indicative,people do not see us
niwaapamikoossiiminaapan,people did not see us (excl.),X→1p TA Independent Preterit,people did not see us
niwaapamikoossiiminaatok,people must not be seeing us (excl.),X→1p TA Independent Dubitative,people must not be seeing us
niwaapamikoossiin,people do not see me,X→1s TA Independent Indicative,people do not see me
niwaapamikoossiinaapan,people did not see me,X→1s TA Independent Preterit,people did not see me
niwaapamikoossiinaatok,people must not be seeing me,X→1s TA Independent Dubitative,people must not be seeing me
niwaapamikopan,s/he saw me,3s→1s TA Independent Preterit,they(sing.) saw me
ninoontaakopan,s/he heard me,3s→1s TA Independent Preterit,they(sing.) heard me
nimpakkitte'okopan,s/he hit me,3s→1s TA Independent Preterit,they(sing.) hit me
niwaapamikopanek,they (anim.) saw me,3p→1s TA Independent Preterit,they(plur.) saw me
ninoontaakopanek,they (anim.) heard me,3p→1s TA Independent Preterit,they(plur.) heard me
nimpakkitte'okopanek,they (anim.) hit me,3p→1s TA Independent Preterit,they(plur.) hit me
niwaapamikossiik,they (anim.) do not see me,3p→1s TA Independent Indicative,they(plur.) do not see me
niwaapamikossiimin,"it, they (inan.) do not see us (excl.)",0→1p TA Independent Indicative,"it, they(plur.) do not see us (excl.)"
niwaapamikossiimin,"it, they (inan.) do not see us (excl.)",0→1p TA Independent Indicative,"it,  do not see us (excl.)"
niwaapamikossiiminaapan,it did not see us (excl.),0s→1p TA Independent Preterit,it did not see us
niwaapamikossiiminaapanen,they (inan.) did not see us (excl.),0p→1p TA Independent Preterit,they(plur.) did not see us (excl.)
niwaapamikossiiminaatok,it must not be seeing us (excl.),0s→1p TA Independent Dubitative,it must not be seeing us
niwaapamikossiiminaatokenan,they (inan.) must not be seeing us (excl.),0p→1p TA Independent Dubitative,they(plur.) must not be seeing us (excl.)
niwaapamikossiin,s/he does not see me,3s→1s TA Independent Indicative,FLAGthey(sing.) does not see me
niwaapamikossiin,it does not see me,0s→1s TA Independent Indicative,it does not see me
niwaapamikossiinaan,s/he does not see us (excl.),3s→1p TA Independent Indicative,FLAGthey(sing.) does not see us
niwaapamikossiinaanik,they (anim.) do not see us (excl.),3p→1p TA Independent Indicative,they(plur.) do not see us (excl.)
niwaapamikossiinaapan,s/he did not see us (excl.),3s→1p TA Independent Preterit,they(sing.) did not see us
niwaapamikossiinaapan,it did not see me,0s→1s TA Independent Preterit,it did not see me
niwaapamikossiinaapanek,they (anim.) did not see us (excl.),3p→1p TA Independent Preterit,they(plur.) did not see us (excl.)
niwaapamikossiinaapanen,they (inan.) did not see me,0p→1s TA Independent Preterit,they(plur.) did not see me
niwaapamikossiinaatok,s/he must not be seeing us (excl.),3s→1p TA Independent Dubitative,they(sing.) must not be seeing us
niwaapamikossiinaatok,it must not be seeing me,0s→1s TA Independent Dubitative,it must not be seeing me
niwaapamikossiinaatokenak,they (anim.) must not be seeing us (excl.),3p→1p TA Independent Dubitative,they(plur.) must not be seeing us (excl.)
niwaapamikossiinaatokenan,they (inan.) must not be seeing me,0p→1s TA Independent Dubitative,they(plur.) must not be seeing me
niwaapamikossiinan,they (inan.) do not see me,0p→1s TA Independent Indicative,they(plur.) do not see me
niwaapamikossiipan,s/he did not see me,3s→1s TA Independent Preterit,they(sing.) did not see me
niwaapamikossiipanek,they (anim.) did not see me,3p→1s TA Independent Preterit,they(plur.) did not see me
niwaapamikossiitok,s/he must not be seeing me,3s→1s TA Independent Dubitative,they(sing.) must not be seeing me
niwaapamikossiitokenak,they (anim.) must not be seeing me,3p→1s TA Independent Dubitative,they(plur.) must not be seeing me
niwaapamikotok,s/he must be seeing me,3s→1s TA Independent Dubitative,they(sing.) must be seeing me
ninoontaakotok,s/he must be hearing me,3s→1s TA Independent Dubitative,they(sing.) must be hearing me
nimpakkitte'okotok,s/he must be hitting me,3s→1s TA Independent Dubitative,they(sing.) must be hitting me
niwaapamikotokenak,they (anim.) must be seeing me,3p→1s TA Independent Dubitative,they(plur.) must be seeing me
ninoontaakotokenak,they (anim.) must be hearing me,3p→1s TA Independent Dubitative,they(plur.) must be hearing me
nimpakkitte'okotokenak,they (anim.) must be hitting me,3p→1s TA Independent Dubitative,they(plur.) must be hitting me
niwaapamimaan,"I see him/her, them (obv.)",1s→3' TA Independent Indicative,"I see him/her, them"
niwaapamimaan,"I see him/her, them (obv.)",1s→3' TA Independent Indicative,"I see him/her, them"
niwaapamimaanaan,"we (excl.) see him/her, them (obv.)",1p→3' TA Independent Indicative,"we see him/her, them (obv.)"
niwaapamimaanaan,"we (excl.) see him/her, them (obv.)",1p→3' TA Independent Indicative,"we see him/her, them (obv.)"
niwaapamimaanaapanen,"we (excl.) saw him/her, them (obv.)",1p→3' TA Independent Preterit,"we saw him/her, them (obv.)"
niwaapamimaanaapanen,"we (excl.) saw him/her, them (obv.)",1p→3' TA Independent Preterit,"we saw him/her, them (obv.)"
